Date,SPX,GLD,USO,SLV,EUR/USD
01/02/2008,1447.1600341796875,84.86000061035156,627.760009765625,15.180000305175781,1.4716920852661133
01/03/2008,1447.1600341796875,85.56999969482422,626.9600219726562,15.28499984741211,1.4744912385940552
01/04/2008,1411.6300048828125,85.12999725341797,618.47998046875,15.166999816894531,1.4754921197891235
01/07/2008,1416.1800537109375,84.7699966430664,604.0,15.053000450134277,1.468299388885498
01/08/2008,1390.18994140625,86.77999877929688,608.47998046875,15.59000015258789,1.5570987462997437
01/09/2008,1409.1300048828125,86.55000305175781,602.0,15.520000457763672,1.466404676437378
01/10/2008,1420.3299560546875,88.25,592.1599731445312,16.06100082397461,1.480100154876709
01/11/2008,1401.02001953125,88.58000183105469,584.719970703125,16.07699966430664,1.4790055751800537
01/14/2008,1416.25,89.54000091552734,594.0,16.280000686645508,1.4869003295898438
01/15/2008,1380.949951171875,87.98999786376953,582.239990234375,15.833999633789062,1.4802095890045166
01/16/2008,1373.199951171875,86.69999694824219,574.7999877929688,15.654000282287598,1.466404676437378
01/17/2008,1333.25,86.5,568.239990234375,15.717000007629395,1.4640002250671387
01/18/2008,1325.18994140625,87.41999816894531,572.3200073242188,16.030000686645508,1.4617959260940552
01/22/2008,1310.5,88.16999816894531,564.4000244140625,15.902000427246094,1.4647936820983887
01/23/2008,1338.5999755859375,87.88999938964844,556.0,15.899999618530273,1.4632076025009155
01/24/2008,1352.0699462890625,90.08000183105469,567.4400024414062,16.299999237060547,1.4774104356765747
01/25/2008,1330.6099853515625,90.30000305175781,575.280029296875,16.29800033569336,1.467502236366272
01/28/2008,1353.9599609375,91.75,578.7999877929688,16.549999237060547,1.4788086414337158
01/29/2008,1362.300048828125,91.1500015258789,583.8400268554688,16.534000396728516,1.4771921634674072
01/30/2008,1355.81005859375,92.05999755859375,584.6400146484375,16.674999237060547,1.483107328414917
01/31/2008,1378.550048828125,91.4000015258789,578.7999877929688,16.81800079345703,1.4865025281906128
02/01/2008,1395.4200439453125,89.3499984741211,563.760009765625,16.618999481201172,1.4799906015396118
02/04/2008,1380.8199462890625,89.0999984741211,570.9600219726562,16.514999389648438,1.4827995300292969
02/05/2008,1336.6400146484375,87.68000030517578,561.2000122070312,16.16699981689453,1.4638073444366455
02/06/2008,1326.449951171875,88.94999694824219,552.1599731445312,16.375,1.4617104530334473
